"ID","Started on","Last updated on","Status","Collector","Language","IP address","Device","{_bhlid}","{trk}","Do you work in a safety-critical industry? (Automotive, aerospace, medical, robotics, etc)","What industry do you work in?","Automotive","Aerospace","Medical","Industrial","Robotics","Defense","Nuclear","Rail","Other","What is the size of the company that you work for?","Approximately how many people actively write Rust at your company?","What is your primary role or responsibility related to software development or safety within your organization?","Software Engineer","Safety Engineer","Quality Assurance Engineer","Cybersecurity Engineer","DevOps/Tooling Engineer","Project Manager","R&D Engineer","Engineering Management","Startup Owner/Founder","C-suite (CEO, CTO, etc)","Other","Can you elaborate on your role?","What language(s) do you use in your safety critical role?","Rust","C","C++","Ada/Spark","Python","Other","Do you currently use Rust?","Yes, in my safety critical role","Yes, in non-safety critical production","Yes, as a hobby/in my free time","No","Would you be interested in using Rust in your safety-critical role?","What were your/your company's primary reasons to switch to Rust?","Memory safety","Speed/performance","Tooling (cargo, crates.io, clippy, etc)","Language features (type system, matching, zero cost abstractions, etc)","Specific library/crate/framework","Hiring advantages (interest in Rust/quality of Rust engineers)","Regulatory requirement","Cybersecurity advantages","Other","What are some of the advantages to Rust in your role?","What are the primary blockers or disadvantages to using Rust in your safety critical role?","Lack of tooling","Standards","Hiring engineers","Hardware support","Ecosystem (libraries, drivers, etc)","Lack of qualified tooling","Regulatory hurdles","Legacy codebase","Training","Other","How do you or would you be interested in using Rust in your safety-critical role?","Starting a new project in Rust","Rewriting an existing project in Rust","Integrating Rust with an existing codebase","Integrating Rust components into an existing system","Using C/C++ Interoperability Layer","Other","What are the primary disadvantages to using Rust in your safety-critical role?","Doesn't offer any/enough advantage over existing languages","Too difficult to learn","Doesn't support my hardware target(s)","Not certifiable","Not enough hirable Rust engineers","Doesn't integrate with existing codebase","Doesn't integrate with existing process/tooling/build system","Software supply chain concern (open-source)","Don't know enough about it","Other","Can you elaborate on the downsides to Rust for your role?","What types of safety critical code tools does your work require?","Certified compiler","Formal verification","Code coverage analysis","Code-requirements traceability","Static analysis","Source code metrics (cyclomatic complexity, lines of code, etc)","Linting tools (naming contenvtions, style guides, etc)","Automated testing (fuzz, prop-based, etc)","Post compilation analysis (worst case execution time, stack size, etc)","Other","Are there ""best-in-class"" libraries or solutions in another language which have features lacking within the Rust ecosystem for your use cases?","Are there any libraries that are not written in Rust that you would like to use in the Rust ecosystem?","Are there any crates in the Rust ecosystem that you would use in safety-critical software if it were certified?","What standard(s) do you work with in your safety critical work?","ISO-26262","DO-178","IEC-61508","IEC-62304","Other","What levels of ISO-26262 do you work with?","QM","ASIL-A","ASIL-B","ASIL-C","ASIL-D","What levels of IEC-61508 do you work with?","SIL-1","SIL-2","SIL-3","SIL-4","What levels of DO-178 do you work with?","DAL A","DAL B","DAL C","DAL D","DAL E","What levels of IEC-62304 do you work with?","Class A","Class B","Class C","What coding guidelines do you work with in your safety critical work?","MISRA (C)","AEC","AUTOSAR (C++)","JSF AV (C++)","CERT (C, C++, Java)","HIC++","CWE","Other","To what environments do you deploy your safety critical code?","Cloud","WebAssembly","Native applications","Embedded Linux","Embedded with a hypervisor (RTOS, event-driven architecture, etc)","Bare metal embedded","Other","What chip architectures do you work with?","ARM Cortex (R or M)","ARM Cortex (A)","Infineon Tricore","x86-x64","PowerPC","Renesas","RISC-V","Other","What kind of support or resources from the Rust community or the Safety-Critical Rust Consortium would be most helpful in enabling Rust adoption in your industry?","What steps would your organization need to take to seriously consider or adopt Rust for safety-critical projects?"
"117619263","05/05/2025 2:34:25 pm","05/05/2025 3:29:01 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","","","","","","Power Systems","1000 - 10,000","< 10","","x","","","","","","x","","","","","Upper level firmware developer. Not able to independently make decision to use Rust, but has influence with the people who do.","","","x","x","","","","","","","x","","Yes, but not I'm not yet using it","","x","","","x","","","","x","","","","x","","","","","","","x","","","","","","x","x","x","","","","","","","","","","","","","","","","","x","","","","x","","","","","","heapless","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","x","x","","","x","x","","","","","","","","1. Demonstrateably"
"117617546","05/05/2025 1:58:38 pm","05/05/2025 2:07:15 pm","Completed","Public Collector","-","-","Desktop","","","Yes","","","","","x","x","","","","","10 - 49","< 10","","x","x","","","","","","","x","","","Head of software and safety system architect.","","x","","","","","","","x","","","","Yes, I already am","","x","x","x","x","x","x","","","","- Rust is inherently safer than C/C++ which is the alternative
- My developers find it super intuitive","","","","","x","x","","","","","","","x","","","","","","","","","","","","","","","","","","","x","","x","x","x","x","x","x","","","- Mathematics (CMSIS-DSP) - there are Rust crates but none certified
- Hardware abstraction layer.","","- Heapless
- libcore
- rustfft","","","","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","We need to define our own.","","","","","","","x","","","x","x","","","","","","","- coding guidelines
- tooling for code coverage
- streamlining process for certifying/assessing 3rdparty crates
- ecosystem for certified crates","We _are_ using Rust for our product and intend to certify by end of 2025"
"117609007","05/05/2025 10:38:29 am","05/05/2025 11:11:43 am","Started, but not completed yet","Public Collector","-","-","Desktop","b173b957f5d11a8ab84b7815fbbefbd6198812c1","","Yes","","x","","","","","","","","","> 10,000","50 - 200","","x","","","","","","","","","","","I work on a software component that is integrated into projects using SoC's that have are used in vehicle ECU's that include safety critical functionality, and our component must be able to support safety concepts of the system (this generally involves being ASIL-D compliant by having 100% unit test MC/DC coverage, supporting freedom from interference and any tools used must be evaluated according to the ISO26262 process to determine the level of ASIL required).","","","x","x","","","","","","","x","","Yes, but not I'm not yet using it","","x","","x","x","","","","x","","Everything that is easy to get wrong in c++ is hard to get wrong in Rust. We have a ton of engineers who only know c, and to train them to use modern c++ ""properly"" when you have so many rules that are hard to explain on the outset (e.g. ""rule of 0/3/5"", or how to explain when the compiler will start using virtual function pointers for polyphormism). Rust just makes much more sense.","","","x","x","x","x","","x","x","x","","","x","x","","x","","","","","","","","","","","","","","","","x","x","x","x","x","x","x","","x","","1. Memory Separation
For safety critical systems, it is common to separate the ""safety critical"" memory from the ""non safety critical"" memory. Then the MPU is used together with the RTOS such that safety critical components are run in a ""priveleged"" mode such that it can access the safety critical memory, but other components that do not need to be developed according to ASIL-D level are run in a lower mode such that the MPU blocks it from accessing that memory. In order to help enable this, AUTOSAR has developed a standard way of specifying memory sections for variables of components. The linker file is then used to place the various sections into memory regions that the MPU will setup accordingly. I have not really looked into it, but I am not sure how trivial this would be in Rust.

2. Default of switch case
In safety critical  software, you **must** be 100% sure what your software will do, even if memory gets corrupted (i.e. you must be defensive). For this reason, MISRA specifies that a switch case shall always have a default case, even if you are switching on an enum and you covered all ""values"" of the enum.
In Rust, the ""match"" does not allow you to have a default. So I am unable to say if someone puts a bad value in for the value stored for the enum (or memory gets corrupted as it enters my function), I do not know which path my match would take.","","","","x","","","","","","x","","","","x","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","x","x","","","x","x","x","","x","x","","","We basically need a MISRA kind of ""authority"" to come and say, ""if you follow these guidelines, you're following best practice"". I believe MISRA has already made some strides towards a MISRA Rust guide but I believe nothing official yet.","1. Biggest hurdle: convincing management it is worth the cost of training. 98% of developers that I interact with (outside of our current c++ project) are c developers, and to train everyone in Rust is a really difficult sell (in terms of money and time).
2. Pressure from customers. We get paid by customers. They very often require either a c API, or they are just buying the entire solution (in which case they don't care about the language but more about the tools to configure the software). Since c already has established safety standards and guidelines that are meant to prevent most bugs, it is difficult to switch over unless a customer will pay us to do it."
"117607159","05/05/2025 10:07:32 am","05/05/2025 10:09:49 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","1000 - 10,000","20 - 49","","x","","","","","","","","","","","","","","x","","","","","","","x","x","","Yes, I already am","","","","x","x","","x","","","","","","","x","","","","x","","x","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117603791","05/05/2025 9:16:03 am","05/05/2025 9:23:28 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","x","","","","x","","","","> 10,000","< 10","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117597088","05/05/2025 7:30:14 am","05/05/2025 10:02:12 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","x","","","","","","","","10 - 49","< 10","","x","","","","","","","x","x","x","","","","x","","","","","","","x","x","x","","Yes, I already am","","x","","x","","","x","","","","Getting unexperienced programmers (electronics engineers, control engineers, etc.) up to speed in Rust is much much faster. They are confidently making stuff in Rust in a few weeks. In C++, this took ages.","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","Tests, lints, and type system that can be trusted. All already part of Rust. :)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","x","","","x","x","","","","","","","Introducing Rust at more universities, also outside of computer science majors.","We already use Rust for everything."
"117589432","05/05/2025 5:11:58 am","05/05/2025 5:13:27 am","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","x","","","","x","","","","250 - 1000","< 10","","x","","","","","","","","","","","","","","x","","","","","","","x","","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117580734","05/05/2025 2:55:42 am","05/05/2025 2:59:06 am","Completed","Public Collector","-","-","Mobile","","","Yes","","","","","","x","","","","","50 - 249","10 - 19","","x","","","","","x","x","","","","","","","x","x","","x","","","","","x","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","x","","","","","","x","x","","","x","x","","","","x","","x","x","","","","","","","","","","","","","","","","","","x","","x","","x","x","x","","","","","","","x","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","x","","x","","","","","","","","","x","","x","x","","","x","x","","","","","x","","",""
"117577716","05/05/2025 1:39:41 am","05/05/2025 1:41:07 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","x","","","","","10 - 49","< 10","","","","","","","","","","","","Fullstack Developer","","","x","","","","","","","","x","x","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117574910","05/04/2025 10:01:04 pm","05/04/2025 10:04:10 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","No","","","","","","","","","","Finance","1000 - 10,000","< 10","","x","","","","x","","","","","","","","","x","x","","","x","","","x","","","","Yes, I already am","","x","x","","","","","","","","","","x","x","x","x","x","x","","x","x","","","x","x","x","x","x","","","","","","","","","","","","","","","","","x","x","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117573029","05/04/2025 6:43:43 pm","05/04/2025 6:46:50 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","x","","","","x","","","","250 - 1000","10 - 19","","x","","","","","","x","","","","","","","x","x","x","","x","","","","x","","","Yes, I already am","","x","","x","x","x","","","","","","","","x","","x","","x","","","","","","x","x","x","x","x","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","","","x","x","","","","","","","x","","","","","","","","","","","x","","","","","","","","x","","","","","","","","","","","","x","","","","","x","","","","","","","","",""
"117571481","05/04/2025 5:08:08 pm","05/04/2025 5:32:32 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","","","x","","","","","10 - 49","< 10","","x","","","","","x","","","","","","Review code base as well as the hardwares before upload.","","x","","","","","","","x","x","x","","Yes, I already am","","x","x","","","","","","","","","","","","x","x","","","","","","","","x","","x","x","","","","","","","","","","","","","","","","x","x","","","","x","","","x","","","Yes","Yes","","x","","x","","","","","x","","x","","","","","x","","","","","","","","","","","","","","","","","x","","","","","","","","x","","x","","","","x","","x","","","","","Drive robotics adoption by building libraries, enhancing ROS interoperability, and even training.","Establishment of safety compliance standards."
"117565512","05/04/2025 1:34:51 pm","05/04/2025 1:35:34 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","50 - 249","< 10","","x","","","","","","","","","","","","","x","x","","","","","","","","","x","Yes, I already am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117261301","05/02/2025 12:33:03 pm","05/02/2025 1:11:13 pm","Completed","Public Collector","-","-","Mobile","","","Yes","","","","","x","x","","","","","50 - 249","< 10","","","x","","","","","x","","","","","","","x","x","","","","","","x","x","x","","Yes, I already am","","x","","x","x","","","","","","","","","x","","","","","x","","","","","x","x","","","","","","","","","","","","","","","","","","x","","x","x","x","","","","x","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","x","","","","","","","","","x","","x","x","","","","","","","","x","","","","","",""
"117251295","05/02/2025 11:24:08 am","05/02/2025 11:27:12 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","x","","","","x","","","","> 10,000","< 10","","x","","","","","","","","","","","","","","x","x","x","","","","","","","x","Yes, but not I'm not yet using it","","x","","","","x","x","","","","","","x","x","","","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","x","","","","","","","","","x","","","","","","","","","","","","","","","","x","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","x","x","","","","",""
"117229563","05/02/2025 9:01:48 am","05/02/2025 9:14:25 am","Completed","Public Collector","-","-","Mobile","","","Yes","","x","","","","","","","","","> 10,000","< 10","","x","","","","","","","","","","","","","x","x","","","","","","","x","","","Yes, but not I'm not yet using it","","x","x","x","x","","","","","","","","","","","x","","","x","x","","","","x","","","x","","","","","","","","","","","","","","","","x","","","x","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","x","","","x","","x","","","","","","",""
"117205283","05/02/2025 5:30:38 am","05/02/2025 5:38:02 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","x","","","","","","","","> 10,000","20 - 49","","x","","","","","","","","","","","","","","","x","x","","","","","","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","x","","","","","x","","","","x","x","x","","","","x","","x","x","x","","","","","","","","","","","","","","","x","","","x","x","","","","x","","","","embassy
serde
thiserror
anyhow
hyper
tower","","","x","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","qualified compiler
certified most common crates",""
"117182402","05/01/2025 11:00:51 pm","05/01/2025 11:08:41 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","x","x","x","","","","","< 10","< 10","","x","","","","","x","","x","","x","","","","","x","x","","","","","","x","x","","Yes, but not I'm not yet using it","","x","x","x","x","","","","","","","","","x","","x","","","","","x","","","x","","","x","x","","","","","","","","","","","","","","","","x","","","","x","x","","","","","Windows GUI libraries (WPF or similar)","","","","","","x","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","x","x","x","","","x","","","x","","","","","",""
"117071836","05/01/2025 10:15:23 am","05/01/2025 10:22:56 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","","","","","","","x","","250 - 1000","< 10","","","","","","","","x","","","","","","","","x","","","","","","","","","x","Yes, but not I'm not yet using it","","x","","x","","x","","","x","","","","","x","","x","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","Using languages with an internationally recognized standard (e.g. ISO)","","","","","","","","","EN 50126, EN 50128, EN 50129","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","x","x","x","x","","","","","","x","","","","","Formally standardizing it through ISO","Being an ISO standard and being available multiple compilers, at least one certified"
