"","Yes, but not I'm not yet using it","94","50.81","2"
"","No, I'm not interested in using Rust","9","4.86","3"
"","Not Sure Yet","13","7.03","4"
"","","","",""
"","Average","","","1.82"
"","Standard Deviation","","","0.82"
"","","","",""
"What were your/your company's primary reasons to switch to Rust? (n = 149)","Answer","Count","%",""
"","Memory safety","124","83.22",""
"","Speed/performance","71","47.65",""
"","Tooling (cargo, crates.io, clippy, etc)","87","58.39",""
"","Language features (type system, matching, zero cost abstractions, etc)","93","62.42",""
"","Specific library/crate/framework","21","14.09",""
"","Hiring advantages (interest in Rust/quality of Rust engineers)","16","10.74",""
"","Regulatory requirement","14","9.4",""
"","Cybersecurity advantages","52","34.9",""
"","Other","14","9.4",""
"","","","",""
"What are the primary blockers or disadvantages to using Rust in your safety critical role? (n = 145)","Answer","Count","%",""
"","Lack of tooling","37","25.52",""
"","Standards","63","43.45",""
"","Hiring engineers","33","22.76",""
"","Hardware support","43","29.66",""
"","Ecosystem (libraries, drivers, etc)","53","36.55",""
"","Lack of qualified tooling","56","38.62",""
"","Regulatory hurdles","39","26.9",""
"","Legacy codebase","61","42.07",""
"","Training","42","28.97",""
"","Other","15","10.34",""
"","","","",""
"How do you or would you be interested in using Rust in your safety-critical role? (n = 144)","Answer","Count","%",""
"","Starting a new project in Rust","113","78.47",""
"","Rewriting an existing project in Rust","46","31.94",""
"","Integrating Rust with an existing codebase","78","54.17",""
"","Integrating Rust components into an existing system","72","50",""
"","Using C/C++ Interoperability Layer","59","40.97",""
"","Other","1","0.69",""
"","","","",""
"What are the primary disadvantages to using Rust in your safety-critical role? (n = 10)","Answer","Count","%",""
"","Doesn't offer any/enough advantage over existing languages","2","20",""
"","Too difficult to learn","5","50",""
"","Doesn't support my hardware target(s)","3","30",""
"","Not certifiable","3","30",""
"","Not enough hirable Rust engineers","3","30",""
"","Doesn't integrate with existing codebase","3","30",""
"","Doesn't integrate with existing process/tooling/build system","3","30",""
"","Software supply chain concern (open-source)","2","20",""
"","Don't know enough about it","2","20",""
"","Other","5","50",""
"","","","",""
"What types of safety critical code tools does your work require? (n = 143)","Answer","Count","%",""
"","Certified compiler","80","55.94",""
"","Formal verification","56","39.16",""
"","Code coverage analysis","109","76.22",""
"","Code-requirements traceability","93","65.03",""
"","Static analysis","112","78.32",""
"","Source code metrics (cyclomatic complexity, lines of code, etc)","75","52.45",""
"","Linting tools (naming contenvtions, style guides, etc)","88","61.54",""
"","Automated testing (fuzz, prop-based, etc)","72","50.35",""
"","Post compilation analysis (worst case execution time, stack size, etc)","70","48.95",""
"","Other","8","5.59",""
"","","","",""
"What standard(s) do you work with in your safety critical work? (n = 117)","Answer","Count","%",""
"","ISO-26262","57","48.72",""
"","DO-178","37","31.62",""
"","IEC-61508","25","21.37",""
"","IEC-62304","16","13.68",""
"","Other","17","14.53",""
"","","","",""
"What levels of ISO-26262 do you work with? (n = 54)","Answer","Count","%",""
"","QM","34","62.96",""
"","ASIL-A","18","33.33",""
"","ASIL-B","38","70.37",""
"","ASIL-C","20","37.04",""
"","ASIL-D","31","57.41",""
"","","","",""
"What levels of IEC-61508 do you work with? (n = 24)","Answer","Count","%",""
"","SIL-1","8","33.33",""
"","SIL-2","16","66.67",""
"","SIL-3","19","79.17",""
"","SIL-4","3","12.5",""
"","","","",""
"What levels of DO-178 do you work with? (n = 33)","Answer","Count","%",""
"","DAL A","24","72.73",""
"","DAL B","22","66.67",""
"","DAL C","24","72.73",""
"","DAL D","17","51.52",""
"","DAL E","7","21.21",""
"","","","",""
"What levels of IEC-62304 do you work with? (n = 15)","Answer","Count","%",""
"","Class A","8","53.33",""
"","Class B","9","60",""
"","Class C","13","86.67",""
"","","","",""
"What coding guidelines do you work with in your safety critical work? (n = 111)","Answer","Count","%",""
"","MISRA (C)","91","81.98",""
"","AEC","2","1.8",""
"","AUTOSAR (C++)","35","31.53",""
"","JSF AV (C++)","6","5.41",""
"","CERT (C, C++, Java)","27","24.32",""
"","HIC++","5","4.5",""
"","CWE","14","12.61",""
"","Other","20","18.02",""
"","","","",""
"To what environments do you deploy your safety critical code? (n = 134)","Answer","Count","%",""
"","Cloud","15","11.19",""
"","WebAssembly","8","5.97",""
"","Native applications","31","23.13",""
"","Embedded Linux","70","52.24",""
"","Embedded with a hypervisor (RTOS, event-driven architecture, etc)","75","55.97",""
"","Bare metal embedded","93","69.4",""
"","Other","5","3.73",""
"","","","",""
"What chip architectures do you work with? (n = 132)","Answer","Count","%",""
"","ARM Cortex (R or M)","91","68.94",""
"","ARM Cortex (A)","67","50.76",""
"","Infineon Tricore","27","20.45",""
"","x86-x64","61","46.21",""
"","PowerPC","20","15.15",""
"","Renesas","11","8.33",""
"","RISC-V","28","21.21",""
"","Other","6","4.55",""
